Дата,Предмет,Тип достижения,Достижение
14.05.2022,Спорт,Подтягивания,25
15.05.2022,Спорт,Подтягивания,25
16.05.2022,Спорт,Подтягивания,22
16.05..2022,Программирование на Python,"Решение задач по курсу ""Python для искусственного интеллекта""",5
19.05.2022,Спорт,Подтягивания,25
20.05.2022,Спорт,Подтягивания,23
21.05.2022,Спорт,Подтягивания,25
23.05.2022,Спорт,Подтягивания,26
26.05.2022,Спорт,Подтягивания,27
27.05.2022,Спорт,Подтягивания,24
30.05.2022,Спорт,Подтягивания,27
31.05.2022,Спорт,Подтягивания,26
02.06.2022,Спорт,Подтягивания,23
03.06.2022,Спорт,Подтягивания,25
04.06.2022,Спорт,Подтягивания,26
05.06.2022,Спорт,Подтягивания,26
06.06.2022,Спорт,Подтягивания,28
07.06.2022,Спорт,Подтягивания,27
08.06.2022,Спорт,Подтягивания,25
09.06.2022,Спорт,Подтягивания,26
10.06.2022,Спорт,Подтягивания,27
11.06.2022,Спорт,Подтягивания,25
12.06.2022,Спорт,Подтягивания,28
13.06.2022,Спорт,Подтягивания,27
14.06.2022,Спорт,Подтягивания,28
16.09.2022,Спорт,Подтягивания,29
17.06.2022,Спорт,Подтягивания,30
19.06.2022,Спорт,Подтягивания,29
19.06.2022,Спорт,"Пдтягивания+брусья, 50+50, время, с",287
20.06.2022,Спорт,Подтягивания,24
21.06.2022,Спорт,Подтягивания,27
